EVT_996136_DESC;Independent cossack state of Don-Kuban is currently without any kind of international protection. This present us with an opportunity to finalize unification process of the entire Caucasus region !;
EVT_996136_OPTIONA;Declare war !;
EVT_996136_OPTIONB;Covert operations will be good enough.;
EVT_996136_OPTIONC;This is too risky....;
EVT_996143_NAME;Georgian coup;
EVT_996143_DESC;Georgian agitators, together with a detachment of syndicalist emigrants, have fueled popular opinion against the current leadership of our state. Pro-syndicalist parts of our population, together with Georgians in the countryside and in the cities, have rebelled. The country is in chaos, how will the situation develop?;
EVT_996143_OPTIONA;The rebels take over the capital!;
EVT_996143_OPTIONB;The rebels have been defeated!;
EVT_996144_NAME;Don-Kuban union falls;
EVT_996144_DESC;Representatives of the newly established syndicalist government of Don-Kuban union met with our prime-minister today and announced that Don-Kuban union will join family of the Caucasian socialist republics. All of our citizens are celebrating, Georgian intelligence has achieved a new victory!;
EVT_996144_OPTIONA;Temporary occupy Don-Kuban union !;
EVT_996144_OPTIONB;Merely take control over their new government.;
EVT_996145_NAME;Georgian coup failed;
EVT_996145_DESC;Our attempt to replace the government in Don-Kuban union with one loyal to our state has failed miserably. What shall we do now?;
EVT_996145_OPTIONA;We shall crush them!;
EVT_996145_OPTIONB;Let them be.;
EVT_996148_NAME;Mountain Republic is alone;
EVT_996148_DESC;Independent Mountain Republic is currently without any kind of international protection. This present us with an opportunity to continue with our plan to bring syndicalism to the entire Caucasus region !;
EVT_996148_OPTIONA;Declare war !;
EVT_996148_OPTIONB;Covert operations will be good enough.;
EVT_996148_OPTIONC;This is too risky....;
EVT_996149_NAME;Georgian coup;
EVT_996149_DESC;Georgian agitators, together with a detachment of syndicalist emigrants, have fueled popular opinion against the current leadership of our state. Pro-syndicalist parts of our population, together with Georgians in the countryside and in the cities, have rebelled. The country is in chaos, how will the situation develop?;
EVT_996149_OPTIONA;The rebels take over the capital!;
EVT_996149_OPTIONB;The rebels have been defeated!;
EVT_996150_NAME;Mountain Republic falls;
EVT_996150_DESC;Representatives of the newly established syndicalist government of Mountain Republic met with our prime-minister today and announced that Mountain Republic will join family of the Caucasian socialist republics. All of our citizens are celebrating, Georgian intelligence has achieved a new victory!;
EVT_996150_OPTIONA;Temporary occupy Mountain Republic !;
EVT_996150_OPTIONB;Merely take control over their new government.;
EVT_996151_NAME;Georgian coup failed;
EVT_996151_DESC;Our attempt to replace the government in Mountain Republic with one loyal to our state has failed miserably. What shall we do now?;
EVT_996151_OPTIONA;We shall crush them!;
EVT_996151_OPTIONB;Let them be.;
EVT_996129_NAME;The Fate of Armenia;
EVT_996129_DESC;After a long fight with Armenian, we have launched a full offensive and forced the Armenian Armed forces to surrender. Yerevan is now in our hands!;
EVT_996129_OPTIONA;Incorporate them !;
EVT_996129_OPTIONB;Liberate them !;
EVT_996129_OPTIONC;Occupy them. For now...;
EVT_996130_NAME;The Fate of Azerbaijan;
EVT_996130_DESC;After a long fight with Azerbaijan, we have launched a full offensive and forced the Azerbaijanian armed forces to surrender. Baku is now in our hands!;
EVT_996130_OPTIONA;Incorporate them !;
EVT_996130_OPTIONB;Liberate them !;
EVT_996130_OPTIONC;Occupy them. For now...;
EVT_996131_NAME;The Fate of Don-Kuban union;
EVT_996131_DESC;After a long fight with the Don-Kuban Union, we have launched a full offensive and forced their armed forces to surrender. Yekaterinodar is now in our hands!;
EVT_996131_OPTIONA;Incorporate them !;
EVT_996131_OPTIONB;Liberate them !;
EVT_996131_OPTIONC;Occupy them. For now...;
EVT_996146_NAME;The Fate of the Northern Caucasus;
EVT_996146_DESC;After a long fight with armed forces of the Northern Caucasus state, we have launched a full offensive and forced their armed forces to surrender. Grozny is now in our hands!;
EVT_996146_OPTIONA;Incorporate them !;
EVT_996146_OPTIONB;Liberate them !;
EVT_996146_OPTIONC;Occupy them. For now...;
EVT_996132_NAME;Integration of Azerbaijan;
EVT_996132_DESC;Areas of the rebellious state of Azerbaijan are now firmly integrated into our growing state.;
EVT_996132_OPTIONA; Great !;
EVT_996133_NAME;Integration of Armenia;
EVT_996133_DESC;Areas of the rebellious state of Armenia are now firmly integrated into our growing state.;
EVT_996133_OPTIONA; Great !;
EVT_996134_NAME;Integration of Don-Kuban Union;
EVT_996134_DESC;Areas of the former cossacks state are now firmly integrated into our growing state.;
EVT_996134_OPTIONA; Great !;
EVT_996152_NAME;Integration of Mountainous Republic of the Northern Caucasus;
EVT_996152_DESC;Areas of the former Mountainous Republic of the Northern Caucasus are now firmly integrated into our growing state.;
EVT_996152_OPTIONA; Great !;
EVT_996154_NAME;Industrialization;
EVT_996154_DESC;Due to the Berlin Stock Crisis and internal market problems a lot of our economists suggest reducing the investments. The critics of our economical policy are worried about the huge costs of rapid industrialization and development of infrastructure. According to them, we could redirect some money to social projects from which citizens of our state could greatly benefit. ;
EVT_996154_OPTIONA;Industrialization must be continued;
EVT_996154_OPTIONB;Liberalization is needed;
EVT_996155_NAME;Unhappiness in Worker Communities;
EVT_996155_DESC;The unavailability of many goods is causing a lot of anger in many communities in Georgia. Workers, farmers and the intelligentsia are becoming unhappier with every passing day as they have to stand in long queues for basic goods. The hardliners are insisting on increasing the activities of the secret police while liberals propose soothing the newly introduced Totalist policies.;
EVT_996155_OPTIONA;The secret police must be more active!;
EVT_996155_OPTIONB;Roll back the Totalist reforms;
EVT_996156_NAME;The Social Democratic Party and National Democratic Party are Re-established;
EVT_996156_DESC;Our policy has alienated a lot of students and young professionals. Together with disgraced conservatives and morally bankrupt social democrat politicians they began to recreate the former major parties. Both of freshly revived parties demand resignation of Beria and dissolution of the secret police. This is clearly a dangerous threat to our rule.;
EVT_996156_OPTIONA;Break up these bourgeois parties with force!;
EVT_996156_OPTIONB;Tolerate them;
EVT_996157_NAME;Major Discontent;
EVT_996157_DESC;The last debates in parliament were supposed to go quickly and quietly, as usual. Instead we got several motions from licensed opposition parties and speeches calling the peoples of Georgia to resist the government. Their leaders decided to be independent from us as we recently have lost a lot of support from the nation and all classes. Even within the ranks of our party there is hardly hidden anger. The situation looks very bleak.;
EVT_996157_OPTIONA;Dissolve the parliament! Let Comrade Mauser have the floor!;
EVT_996157_OPTIONB;Stand firm on our policies and wait out these polemics!;
EVT_996158_NAME;The White Revolution;
EVT_996158_DESC;Our strategy has failed. Georgia is in a state of actual civil war, as people demand the immediate resignation of the whole incumbent cabinet, including the Supreme Economical Council with Beria, and the reintroducing of democratic liberties. We can't trust the army as many of soldiers and NCOs sympathize with protesters or have plans for military takeover. Who is going to have the last word?;
EVT_996158_OPTIONA;The opposition is too divided to overthrow the Totalists!;
EVT_996158_OPTIONB;The Republic is reinstated;
EVT_996158_OPTIONC;The constitutional monarchy is reestablished!;
EVT_996158_OPTIOND;The absolute monarchy is restored!;
EVT_996159_NAME;Georgian Spring?;
EVT_996159_DESC;The Supreme Economical Council is debating about liberalization of economical policies. Beria is rather against major changes but even he has to deal with serious the discontent in Georgia, even among socialists and communists. The Berlin Stock Crisis and problems of our neighbours have left our economy in bad state. ;
EVT_996159_OPTIONA;Minor economical liberalization;
EVT_996159_OPTIONB;New Economical Policy;
EVT_996159_OPTIONC;Minor economical and political liberalization;
EVT_996159_OPTIOND;The opposition comes peacefully to power!;
EVT_996160_NAME;The Goals of the First Year Plan Have Been Achieved;
EVT_996160_DESC;Workers, farmers and the intelligentsia of our state have achieved enormous economical success. The output from mines and factories, the crops are surprisingly high. Thanks to this we have built several factories and rail-roads which are going to serve our Socialist Fatherland.;
EVT_996160_OPTIONA;Great!;
EVT_996161_NAME;Foreign Policy of the Georgian Kingdom;
EVT_996161_DESC;We have to choose the general path of our foreign policy. There are several directions we can pursue: Alliance either with Russia or Germany, proactive foreign policy or isolationism. Every option has a lot of supporters in our country and can lead to unknown outcome. We, as an insignificant state on the world stage, are for once free to choose our own path. ;
EVT_996161_OPTIONA;Alliance with Russia!;
EVT_996161_OPTIONB;Alliance with Germany!;
EVT_996161_OPTIONC;We will go our own way;
EVT_996161_OPTIOND;Alliance with Armenia!;
EVT_996161_OPTIONE;Isolationism is not only the best way, it's the only way.;
EVT_9961610_NAME;Foreign Policy of the Georgian Republic;
EVT_9961610_DESC;We have to choose the general path of our foreign policy. There are several directions we can pursue: Alliance either with Russia or Germany, proactive foreign policy or isolationism. Every option has a lot of supporters in our country and can lead to unknown outcome. We, as an insignificant state on the world stage, are for once free to choose our own path. ;
EVT_9961610_OPTIONA;Alliance with Russia!;
EVT_9961610_OPTIONB;Alliance with Russia!;
EVT_9961610_OPTIONC;Alliance with Germany!;
